;SYMBOL;MAP;chromosome_name
ENSG00000121410;A1BG;19q13.43;19
ENSG00000268895;A1BG-AS1;19q13.43;19
ENSG00000148584;A1CF;10q11.23;10
ENSG00000175899;A2M;12p13.31;12
ENSG00000245105;A2M-AS1;12p13.31;12
ENSG00000166535;A2ML1;12p13.31;12
ENSG00000256069;A2MP1;12p13.31;12
ENSG00000184389;A3GALT2;1p35.1;1
ENSG00000128274;A4GALT;22q13.2;22
ENSG00000118017;A4GNT;3q22.3;3
ENSG00000265544;AA06;17q12;17
ENSG00000094914;AAAS;12q13.13;12
ENSG00000081760;AACS;12q24.31;12
ENSG00000250420;AACSP1;5q35.3;5
ENSG00000114771;AADAC;3q25.1;3
ENSG00000197953;AADACL2;3q25.1;3
ENSG00000188984;AADACL3;1p36.21;1
ENSG00000204518;AADACL4;1p36.21;1
ENSG00000240602;AADACP1;3q25.1;3
ENSG00000109576;AADAT;4q33;4
ENSG00000103591;AAGAB;15q23;15
ENSG00000115977;AAK1;2p13.3;2
ENSG00000087884;AAMDC;11q14.1;11
ENSG00000127837;AAMP;2q35;2
ENSG00000129673;AANAT;17q25.1;17
ENSG00000131043;AAR2;20q11.23;20
ENSG00000205002;AARD;8q24.11;8
ENSG00000090861;AARS1;16q22.1;16
ENSG00000249038;AARS1P1;4q28.3;4
ENSG00000124608;AARS2;6p21.1;6
ENSG00000266967;AARSD1;17q21.31;17
ENSG00000234969;AARSD1P1;Xq13.2;X
ENSG00000157426;AASDH;4q12;4
ENSG00000149313;AASDHPPT;11q22.3;11
ENSG00000008311;AASS;7q31.32;7
ENSG00000215458;AATBC;21q22.3;21
ENSG00000275700;AATF;17q12;17
ENSG00000181409;AATK;17q25.3;17
ENSG00000281376;ABALON;20q11.21;20
ENSG00000183044;ABAT;16p13.2;16
ENSG00000165029;ABCA1;9q31.1;9
ENSG00000154263;ABCA10;17q24.3;17
ENSG00000251595;ABCA11P;4p16.3;4
ENSG00000144452;ABCA12;2q35;2
ENSG00000179869;ABCA13;7p12.3;7
ENSG00000238098;ABCA17P;16p13.3;16
ENSG00000107331;ABCA2;9q34.3;9
ENSG00000167972;ABCA3;16p13.3;16
ENSG00000198691;ABCA4;1p22.1;1
ENSG00000154265;ABCA5;17q24.3;17
ENSG00000154262;ABCA6;17q24.2-q24.3;17
ENSG00000064687;ABCA7;19p13.3;19
ENSG00000141338;ABCA8;17q24.2;17
ENSG00000154258;ABCA9;17q24.2;17
ENSG00000231749;ABCA9-AS1;17q24.2;17
ENSG00000085563;ABCB1;7q21.12;7
ENSG00000135776;ABCB10;1q42.13;1
ENSG00000261524;ABCB10P3;15q13.1;15
ENSG00000260053;ABCB10P4;15q13.1;15
ENSG00000073734;ABCB11;2q31.1;2
ENSG00000005471;ABCB4;7q21.12;7
ENSG00000004846;ABCB5;7p21.1;7
ENSG00000115657;ABCB6;2q35;2
ENSG00000131269;ABCB7;Xq13.3;X
ENSG00000197150;ABCB8;7q36.1;7
ENSG00000150967;ABCB9;12q24.31;12
ENSG00000103222;ABCC1;16p13.11;16
ENSG00000124574;ABCC10;6p21.1;6
ENSG00000121270;ABCC11;16q12.1;16
ENSG00000140798;ABCC12;16q12.1;16
ENSG00000243064;ABCC13;21q11.2;21
ENSG00000023839;ABCC2;10q24.2;10
ENSG00000108846;ABCC3;17q21.33;17
ENSG00000125257;ABCC4;13q32.1;13
ENSG00000114770;ABCC5;3q27.1;3
ENSG00000223882;ABCC5-AS1;3q27.1;3
ENSG00000091262;ABCC6;16p13.11;16
ENSG00000256340;ABCC6P1;16p12.3;16
ENSG00000255277;ABCC6P2;16p13.11;16
ENSG00000006071;ABCC8;11p15.1;11
ENSG00000069431;ABCC9;12p12.1;12
ENSG00000101986;ABCD1;Xq28;X
ENSG00000215151;ABCD1P2;10p11.1;10
ENSG00000173208;ABCD2;12q12;12
ENSG00000117528;ABCD3;1p21.3;1
ENSG00000119688;ABCD4;14q24.3;14
ENSG00000164163;ABCE1;4q31.21;4
ENSG00000204574;ABCF1;6p21.33;6
ENSG00000033050;ABCF2;7q36.1;7
ENSG00000285292;ABCF2-H2BK1;7q36.1;7
ENSG00000242159;ABCF2P1;3p11.1;3
ENSG00000228769;ABCF2P2;7q11.22;7
ENSG00000161204;ABCF3;3q27.1;3
ENSG00000160179;ABCG1;21q22.3;21
ENSG00000118777;ABCG2;4q22.1;4
ENSG00000172350;ABCG4;11q23.3;11
ENSG00000138075;ABCG5;2p21;2
ENSG00000143921;ABCG8;2p21;2
ENSG00000143994;ABHD1;2p23.3;2
ENSG00000144827;ABHD10;3q13.2;3
ENSG00000106077;ABHD11;7q11.23;7
ENSG00000100997;ABHD12;20p11.21;20
ENSG00000131969;ABHD12B;14q22.1;14
ENSG00000139826;ABHD13;13q33.3;13
ENSG00000248487;ABHD14A;3p21.2;3
ENSG00000114786;ABHD14A-ACY1;3p21.2;3
ENSG00000114779;ABHD14B;3p21.2;3
ENSG00000168792;ABHD15;17q11.2;17
ENSG00000204427;ABHD16A;6p21.33;6
ENSG00000183260;ABHD16B;20q13.33;20
ENSG00000129968;ABHD17A;19p13.3;19
ENSG00000107362;ABHD17B;9q21.13;9
ENSG00000136379;ABHD17C;15q25.1;15
ENSG00000164074;ABHD18;4q28.2;4
ENSG00000140526;ABHD2;15q26.1;15
ENSG00000158201;ABHD3;18q11.2;18
ENSG00000100439;ABHD4;14q11.2;14
ENSG00000011198;ABHD5;3p21.33;3
ENSG00000163686;ABHD6;3p14.3;3
ENSG00000127220;ABHD8;19p13.11;19
ENSG00000136754;ABI1;10p12.1;10
ENSG00000138443;ABI2;2q33.2;2
ENSG00000108798;ABI3;17q21.32;17
ENSG00000154175;ABI3BP;3q12.2;3
ENSG00000119328;ABITRAM;9q31.3;9
ENSG00000097007;ABL1;9q34.12;9
ENSG00000143322;ABL2;1q25.2;1
ENSG00000099204;ABLIM1;10q25.3;10
ENSG00000163995;ABLIM2;4p16.1;4
ENSG00000173210;ABLIM3;5q32;5
ENSG00000175164;ABO;9q34.2;9
ENSG00000159842;ABR;17p13.3;17
ENSG00000174429;ABRA;8q23.1;8
ENSG00000146386;ABRACL;6q24.1;6
ENSG00000163322;ABRAXAS1;4q21.23;4
ENSG00000165660;ABRAXAS2;10q26.13;10
ENSG00000146109;ABT1;6p22.2;6
ENSG00000114626;ABTB1;3q21.3;3
ENSG00000166016;ABTB2;11p13;11
ENSG00000151136;ABTB3;12q23.3;12
ENSG00000060971;ACAA1;3p22.2;3
ENSG00000167315;ACAA2;18q21.1;18
ENSG00000233585;ACAA2P1;Xp11.23;X
ENSG00000278540;ACACA;17q12;17
ENSG00000076555;ACACB;12q24.11;12
ENSG00000111271;ACAD10;12q24.12;12
ENSG00000240303;ACAD11;3q22.1;3
ENSG00000151498;ACAD8;11q25;11
ENSG00000177646;ACAD9;3q21.3;3
ENSG00000115361;ACADL;2q34;2
ENSG00000117054;ACADM;1p31.1;1
ENSG00000122971;ACADS;12q24.31;12
ENSG00000196177;ACADSB;10q26.13;10
ENSG00000072778;ACADVL;17p13.1;17
ENSG00000157766;ACAN;15q26.1;15
ENSG00000072818;ACAP1;17p13.1;17
ENSG00000114331;ACAP2;3q29;3
ENSG00000131584;ACAP3;1p36.33;1
ENSG00000075239;ACAT1;11q22.3;11
ENSG00000120437;ACAT2;6q25.3;6
ENSG00000182827;ACBD3;1q42.12;1
ENSG00000234478;ACBD3-AS1;1q42.12;1
ENSG00000181513;ACBD4;17q21.31;17
ENSG00000107897;ACBD5;10p12.1;10
ENSG00000230124;ACBD6;1q25.2-q25.3;1
ENSG00000176244;ACBD7;10p13;10
ENSG00000110455;ACCS;11p11.2;11
ENSG00000205126;ACCSL;11p11.2;11
ENSG00000102977;ACD;16q22.1;16
ENSG00000159640;ACE;17q23.3;17
ENSG00000130234;ACE2;Xp22.2;X
ENSG00000225833;ACE2-DT;Xp22.2;X
ENSG00000224353;ACE3P;17q23.3;17
ENSG00000167769;ACER1;19p13.3;19
ENSG00000177076;ACER2;9p22.1;9
ENSG00000078124;ACER3;11q13.5;11
ENSG00000087085;ACHE;7q22.1;7
ENSG00000100813;ACIN1;14q11.2;14
ENSG00000213088;ACKR1;1q23.2;1
ENSG00000144648;ACKR2;3p22.1;3
ENSG00000144476;ACKR3;2q37.3;2
ENSG00000129048;ACKR4;3q22.1;3
ENSG00000131473;ACLY;17q21.2;17
ENSG00000153086;ACMSD;2q21.3;2
ENSG00000227411;ACNATP;9q31.1;9
ENSG00000122729;ACO1;9p21.1;9
ENSG00000100412;ACO2;22q13.2;22
ENSG00000102794;ACOD1;13q22.3;13
ENSG00000184227;ACOT1;14q24.3;14
ENSG00000162390;ACOT11;1p32.3;1
ENSG00000172497;ACOT12;5q14.1;5
ENSG00000112304;ACOT13;6p22.3;6
ENSG00000119673;ACOT2;14q24.3;14
ENSG00000177465;ACOT4;14q24.3;14
ENSG00000205669;ACOT6;14q24.3;14
ENSG00000097021;ACOT7;1p36.31;1
ENSG00000101473;ACOT8;20q13.12;20
ENSG00000123130;ACOT9;Xp22.11;X
ENSG00000161533;ACOX1;17q25.1;17
ENSG00000168306;ACOX2;3p14.3;3
ENSG00000087008;ACOX3;4p16.1;4
ENSG00000153093;ACOXL;2q13;2
ENSG00000204581;ACOXL-AS1;2q13;2
ENSG00000143727;ACP1;2p25.3;2
ENSG00000134575;ACP2;11p11.2;11
ENSG00000014257;ACP3;3q22.1;3
ENSG00000142513;ACP4;19q13.33;19
ENSG00000102575;ACP5;19p13.2;19
ENSG00000162836;ACP6;1q21.2;1
ENSG00000183760;ACP7;19q13.2;19
ENSG00000100312;ACR;22q13.33;22
ENSG00000111644;ACRBP;12p13.31;12
ENSG00000175509;ACRP1;2q14.1;2
ENSG00000134940;ACRV1;11q24.2;11
ENSG00000103740;ACSBG1;15q25.1;15
ENSG00000130377;ACSBG2;19p13.3;19
ENSG00000167107;ACSF2;17q21.33;17
ENSG00000176715;ACSF3;16q24.3;16
ENSG00000151726;ACSL1;4q35.1;4
ENSG00000123983;ACSL3;2q36.1;2
ENSG00000068366;ACSL4;Xq23;X
ENSG00000197142;ACSL5;10q25.2;10
ENSG00000164398;ACSL6;5q31.1;5
ENSG00000223548;ACSL6-AS1;5q31.1;5
ENSG00000166743;ACSM1;16p12.3;16
ENSG00000183747;ACSM2A;16p12.3;16
ENSG00000066813;ACSM2B;16p12.3;16
ENSG00000005187;ACSM3;16p12.3;16
ENSG00000215009;ACSM4;12p13.31;12
ENSG00000183549;ACSM5;16p12.3;16
ENSG00000173124;ACSM6;10q23.33;10
ENSG00000154930;ACSS1;20p11.21;20
ENSG00000131069;ACSS2;20q11.22;20
ENSG00000111058;ACSS3;12q21.31;12
ENSG00000143632;ACTA1;1q42.13;1
ENSG00000107796;ACTA2;10q23.31;10
ENSG00000180139;ACTA2-AS1;10q23.31;10
ENSG00000075624;ACTB;7p22.1;7
ENSG00000169067;ACTBL2;5q11.2;5
ENSG00000229145;ACTBP1;Xp11.3;X
ENSG00000233125;ACTBP12;1p22.1;1
ENSG00000229001;ACTBP14;10q22.1;10
ENSG00000159251;ACTC1;15q14;15
ENSG00000172900;ACTE1P;11q13.4;11
ENSG00000184009;ACTG1;17q25.3;17
ENSG00000226642;ACTG1P12;3p25.2;3
ENSG00000230581;ACTG1P14;9p24.1;9
ENSG00000259904;ACTG1P15;15q14;15
ENSG00000260298;ACTG1P16;16q12.1;16
ENSG00000259315;ACTG1P17;15q25.2;15
ENSG00000237999;ACTG1P19;9q31.1;9
ENSG00000232672;ACTG1P21;1p31.1;1
ENSG00000230362;ACTG1P23;3q26.31;3
ENSG00000226359;ACTG1P24;17p11.2;17
ENSG00000234996;ACTG1P25;1q32.1;1
ENSG00000163017;ACTG2;2p13.1;2
ENSG00000288649;ACTL10;20q11.22;20
ENSG00000234667;ACTL11P;3p21.31;3
ENSG00000136518;ACTL6A;3q26.33;3
ENSG00000077080;ACTL6B;7q22.1;7
ENSG00000187003;ACTL7A;9q31.3;9
ENSG00000148156;ACTL7B;9q31.3;9
ENSG00000117148;ACTL8;1p36.13;1
ENSG00000181786;ACTL9;19p13.2;19
ENSG00000072110;ACTN1;14q24.1;14
ENSG00000259062;ACTN1-DT;14q24.1;14
ENSG00000077522;ACTN2;1q43;1
ENSG00000248746;ACTN3;11q13.2;11
ENSG00000130402;ACTN4;19q13.2;19
ENSG00000213493;ACTN4P1;4q26;4
ENSG00000229890;ACTP1;2q12.3;2
ENSG00000131966;ACTR10;14q23.1;14
ENSG00000138107;ACTR1A;10q24.32;10
ENSG00000233370;ACTR1AP1;2q13;2
ENSG00000115073;ACTR1B;2q11.2;2
ENSG00000138071;ACTR2;2p14;2
ENSG00000115091;ACTR3;2q14.1;2
ENSG00000133627;ACTR3B;7q36.1-q36.2;7
ENSG00000280263;ACTR3BP2;2p11.1;22
ENSG00000106526;ACTR3C;7q36.1;7
ENSG00000232267;ACTR3P2;Xq13.1;X
ENSG00000101442;ACTR5;20q11.23;20
ENSG00000075089;ACTR6;12q23.1;12
ENSG00000248915;ACTR6P1;4q25;4
ENSG00000113812;ACTR8;3p21.1;3
ENSG00000123165;ACTRT1;Xq25;X
ENSG00000169717;ACTRT2;1p36.32;1
ENSG00000184378;ACTRT3;3q26.2;3
ENSG00000115170;ACVR1;2q24.1;2
ENSG00000135503;ACVR1B;12q13.13;12
ENSG00000123612;ACVR1C;2q24.1;2
ENSG00000121989;ACVR2A;2q22.3-q23.1;2
ENSG00000114739;ACVR2B;3p22.2;3
ENSG00000229589;ACVR2B-AS1;3p22.2;3
ENSG00000139567;ACVRL1;12q13.13;12
ENSG00000243989;ACY1;3p21.2;3
ENSG00000132744;ACY3;11q13.2;11
ENSG00000119640;ACYP1;14q24.3;14
ENSG00000170634;ACYP2;2p16.2;2
ENSG00000196839;ADA;20q13.12;20
ENSG00000093072;ADA2;22q11.1;22
